实体名,谷歌,百度,有道
"    ""100mm/55 METL 53 PFHE (German Model 1953)"",","100 毫米/55 METL 53 PFHE（德国型号 1953）,","    ""100mm/55 METL 53 PFHE（德国1953型）"",","100mm/55?METL?53?PFHE(德国1953型),   "
"    ""100mm/55 Model 1953 HE "",","100mm/55 型号 1953 HE,","    ""100mm/55 1953型HE"",","100mm/55型1953型HE,   "
"    ""100mm/55 Model 1953 PFHE "",","100mm/55 型号 1953 PFHE,","    ""100mm/55型1953 PFHE"",","100mm/55型1953型PFHE,   "
"    ""100mm/55 Model 1964 HE Burst [4 rnds] "",","100mm/55 Model 1964 HE Burst [4 rnds],","    ""100mm/55 1964型HE爆破4 RND"",","100mm/55型1964?HE爆炸[4?rnds],   "
"    ""100mm/55 Model 1964 PFHE Burst [4 rnds] "",","100mm/55 Model 1964 PFHE Burst [4 rnds],","    ""100mm/55 1964型PFHE爆破4 RND"",","100mm/55型1964?PFHE爆炸[4?rnds],   "
"    ""100mm/55 Model 1968 HE "",","100mm/55 型号 1968 HE,","    ""100mm/55 1968型HE"",","100mm/55型1968?HE,   "
"    ""100mm/55 Model 1968 HE Burst [4 rnds] (Model 1968 CADAM/1968-II, Improved)"",","100mm/55 型号 1968 HE Burst [4 rnds]（型号 1968 CADAM/1968-II，改进型）,","    ""100mm/55 1968型HE爆破4 RND（1968型CADAM/1968-II，改进型）"",","100mm/55型号1968?HE?Burst?[4?rnds](型号1968?CADAM/1968-?ii，改进),   "
"    ""100mm/55 Model 1968 PFHE "",","100mm/55 型号 1968 PFHE,","    ""100mm/55 1968型PFHE"",","100mm/55型1968型PFHE,   "
"    ""100mm/55 Model 1968 PFHE Burst [4 rnds] (Model 1968 CADAM/1968-II, Improved)"",","100mm/55 Model 1968 PFHE Burst [4 rnds]（Model 1968 CADAM/1968-II，改进型）,","    ""100mm/55 1968型PFHE爆破4 RND（1968型CADAM/1968-II，改进型）"",","100mm/55型1968型PFHE爆炸[4?rnds](1968型CADAM/1968-?ii，改进),   "
"    ""100mm/56 Frag "",","100mm/56 碎片,","    ""100mm/56框架"",","100?mm?/?56碎片弹,   "
"    ""100mm/56 HE "",","100mm/56 HE,","    ""100毫米/56他"",","100毫米/?56他,   "
"    ""100mm/56 TK HE "",","100mm/56 TK HE,","    ""100mm/56 TK HE"",","100mm/?56tk?HE,   "
"    ""100mm/56 Twin Frag Burst [2 rnds] "",","100mm/56 Twin Frag Burst [2 rnds],","    ""100mm/56双框架爆破2 rnds"",","100毫米/56双碎片爆炸[2?rnds],   "
"    ""100mm/56 Twin HE Burst [2 rnds] "",","100 毫米/56 双 HE 连发 [2 发],","    ""100mm/56双HE爆破2 RND"",","100毫米/56双HE爆炸[2?rnds],   "
"    ""100mm/56 Twin PJ33A Frag Burst [2 rnds] "",","100mm/56 Twin PJ33A Frag Burst [2 rnds],","    ""100mm/56双PJ33A框架爆破2 RND"",","100毫米/56双PJ33A碎片爆破[2?rnds],   "
"    ""100mm/56 Twin PJ33A HE [2 rnds] "",","100 毫米/56 双 PJ33A HE [2 发],","    ""100mm/56双PJ33A HE 2 rnds"",","100毫米/56双PJ33A?HE?[2?rnds],   "
"    ""100mm/59 A-190 Frag (Anti-Aircraft)"",","100 毫米/59 A-190 破片（防空）,","    ""100mm/59 A-190框架（防空）"",","100mm/59?A-190碎片(防空),   "
"    ""100mm/59 A-190 HE "",","100mm/59 A-190 HE,","    ""100mm/59 A-190 HE"",","100mm/59?A-190?HE,   "
"    ""100mm/70 Twin Frag Burst [2 rnds] "",","100 毫米/70 双破片爆裂 [2 发],","    ""100mm/70双框架爆破2 rnds"",","100毫米/70双碎片爆破[2?rnds],   "
"    ""100mm/70 Twin HE Burst [2 rnds] "",","100 毫米/70 双高爆 [2 发],","    ""100mm/70双HE爆破2 RND"",","100毫米/70双HE爆炸[2?rnds],   "
"    ""101 Levuka - 1987, 2x, Former Crewboat"",","101 Levuka - 1987, 2x, 前船员,","    ""101 Levuka-1987，2x，前Crewboat"",","101?Levuka?-?1987,?2x，前船员,   "
"    ""101 Mulnaya [Tarantul II, Pr.1241.1T] - 1990, 1x"",","101 Mulnaya [Tarantul II, Pr.1241.1T] - 1990, 1x,","    ""101 Mulnaya Tarantul II，Pr.1241。1T-1990，1x"",","101?Mulnaya?[Tarantul?II,?Pr.1241.1T]?-?1990,?1x,   "
"    ""102 Uragon [Pr.205ER] - 1978, 3x"",","102 Uragon [Pr.205ER] - 1978, 3x,","    ""102 Uragon Pr.205ER-1978，3倍"",","102?Uragon[PR.205ER]?-?1978,?3,   "
"    ""102mm/45 Mk16 Twin HE Burst [2 rnds] "",","102 毫米/45 Mk16 双高爆 [2 发],","    ""102mm/45 Mk16双HE爆破2 RND"",","102mm/45?Mk16双HE爆炸[2?rnds],   "
"    ""102mm/45 Mk19 Twin HE Burst [2 rnds] "",","102mm/45 Mk19 Twin HE Burst [2 rnds],","    ""102mm/45 Mk19双HE爆破2 RND"",","102mm/45?Mk19双HE爆炸[2?rnds],   "
"    ""102mm/60 HE "",","102mm/60 HE,","    ""102mm/60He"",","102毫米/?60他,   "
"    ""103 Burya [Pr.205] - 1971, 3x"",","103 Burya [Pr.205] - 1971，3x,","    ""103布里亚地区205-1971年，3倍"",","103?Burya[PR.205]?-?1971,3?,   "
"    ""105mm APFSDS-T Type 63A "",","105 毫米 APFSDS-T 63A 型,","    ""105mm APFSDS-T 63A型"",","105mm?APFSDS-T型63A,   "
"    ""105mm BK MECA F2 L48 APFSDS-T (AMX-10RC)"",","105mm BK MECA F2 L48 APFSDS-T (AMX-10RC),","    ""105mm BK MECA F2 L48 APFSDS-T（AMX-10RC）"",","105mm?BK?MECA?F2?L48?APFSDS-T?(AMX-10RC),   "
"    ""105mm BK MECA F2 L48 HE (AMX-10RC)"",","105mm BK MECA F2 L48 HE (AMX-10RC),","    ""105毫米黑色MECA F2 L48 HE（AMX-10RC）"",","105mm?BK?MECA?F2?L48?HE?(AMX-10RC),   "
"    ""105mm BK MECA F2 L48 HEAT (AMX-10RC)"",","105mm BK MECA F2 L48 HEAT (AMX-10RC),","    ""105mm BK MECA F2 L48加热（AMX-10RC）"",","105mm?BK?MECA?F2?L48热(AMX-10RC),   "
"    ""105mm Cockerill CT-CV HP HE "",","105mm Cockerill CT-CV HP HE,","    ""105毫米Cockerill CT-CV高压HE"",","105毫米Cockerill?CT-CV?HP?HE,   "
"    ""105mm GT8 APFSDS-T "",","105mm GT8 APFSDS-T,","    ""105mm GT8 APFSDS-T"",","105mm?GT8?APFSDS-T,   "
"    ""105mm GT8 HE "",","105mm GT8 HE,","    ""105mm GT8氦"",","105毫米GT8?HE,   "
"    ""105mm GT8 HEAT "",","105mm GT8 HEAT,","    ""105mm GT8热交换器"",","105mm?GT8热,   "
"    ""105mm HE Type 63A "",","105 毫米 HE 63A 型,","    ""105mm HE 63A型"",","105mm?HE型63A,   "
"    ""105mm Howitzer HE "",","105 毫米榴弹炮 HE,","    ""105毫米榴弹炮"",","105毫米榴弹炮HE,   "
"    ""105mm Howitzer HE (AC-130 Gunship)"",","105 毫米榴弹炮 HE（AC-130 武装直升机）,","    ""105毫米榴弹炮HE（AC-130炮舰）"",","105毫米榴弹炮HE?(AC-130炮艇),   "
"    ""105mm L7A3 APFSDS-T "",","105mm L7A3 APFSDS-T,","    ""105mm L7A3 APFSDS-T"",","105mm?L7A3?APFSDS-T,   "
"    ""105mm L7A3 HE "",","105mm L7A3 HE,","    ""105毫米L7A3 HE"",","105毫米L7A3?HE,   "
"    ""105mm L7A3 HEAT "",","105mm L7A3 HEAT,","    ""105mm L7A3加热管"",","105mm?L7A3热,   "
"    ""105mm M68A1 APFSDS-T "",","105mm M68A1 APFSDS-T,","    ""105mm M68A1 APFSDS-T"",","105mm?M68A1?APFSDS-T,   "
"    ""105mm M68A1 HE "",","105mm M68A1 HE,","    ""105毫米M68A1 HE"",","105毫米M68A1?HE,   "
"    ""105mm M68A1 HEAT "",","105mm M68A1 HEAT,","    ""105mm M68A1加热管"",","105mm?M68A1?HEAT,   "
"    ""105mm Mle F2 APFSDS-T (AMX 30)"",","105 毫米 Mle F2 APFSDS-T (AMX 30),","    ""105mm Mle F2 APFSDS-T（AMX 30）"",","105mm?Mle?F2?APFSDS-T?(AMX?30),   "
"    ""105mm Mle F2 HE (AMX 30)"",","105 毫米 Mle F2 HE（AMX 30）,","    ""105毫米Mle F2 HE（AMX 30）"",","105mm?Mle?F2?HE?(amx30),   "
"    ""105mm SKC/32 HE "",","105mm SKC/32 HE,","    ""105mm SKC/32 HE"",","105mm?SKC/?32he,   "
"    ""105mm Type 83 APFSDS-T "",","105 毫米 83 型 APFSDS-T,","    ""105mm 83型APFSDS-T"",","105mm?83型APFSDS-T,   "
"    ""105mm Type 83 HEAT "",","105mm Type 83 HEAT,","    ""105毫米83型加热炉"",","105mm?83型HEAT,   "
"    ""105mm Type 83 HEAT-Frag "",","105 毫米 83 型热破片,","    ""105mm 83型热板"",","105mm?83型HEAT-Frag,   "
"    ""105mm m/50 HE "",","105mm m/50 HE,","    ""105mm m/50 HE"",","105毫米m/50?HE,   "
"    ""105mm/22 HE (Howitzer)"",","105mm/22 HE（榴弹炮）,","    ""105毫米/22氦（榴弹炮）"",","他105?mm?/?22(榴弹炮),   "
"    ""105mm/32 HE (Howitzer)"",","105mm/32 HE（榴弹炮）,","    ""105毫米/32氦（榴弹炮）"",","他105?mm?/?32(榴弹炮),   "
"    ""105mm/37 HE "",","105mm/37 HE,","    ""105mm/37He"",","105毫米/?37他,   "
"    ""105mm/52 Oto Melara APFSDS-T (B1 Centauro)"",","105mm/52 Oto Melara APFSDS-T (B1 Centauro),","    ""105mm/52奥托梅拉拉APFSDS-T（半人马座B1层）"",","型号:105mm/52?Oto?Melara?APFSDS-T?(B1?Centauro),   "
"    ""105mm/52 Oto Melara HE (B1 Centauro)"",","105mm/52 Oto Melara HE (B1 Centauro),","    ""105mm/52奥托梅拉拉河（半人马座B1层）"",","105毫米/52?Oto?Melara?HE?(B1?Centauro),   "
"    ""105mm/58 HE "",","105mm/58 HE,","    ""105mm/58He"",","105毫米/?58他,   "
"    ""107mm Rocket [Ballistic] "",","107mm 火箭 [弹道],","    ""107毫米火箭弹道导弹"",","107mm火箭[弹道],   "
"    ""107mm Rocket [Direct Fire] "",","107mm火箭[直射],","    ""107毫米火箭直射"",","107mm火箭[直射],   "
"    ""11 Druzki [Riga Class] - 1958, 3x"",","11 Druzki [里加级] - 1958，3x,","    ""11德鲁兹基里加级-1958年，3倍"",","11?Druzki[里加级]-?1958年，3x,   "
"    ""11 Mahamiru [Lerici] - 1988, 2x PAP 104 Mk4 ROV"",","11 Mahamiru [Lerici] - 1988，2 辆 PAP 104 Mk4 ROV,","    ""11 Mahamiru Lerici-1988，2辆PAP 104 Mk4 ROV"",","11?Mahamiru?[Lerici]?-?1988,?2架PAP?104?Mk4?ROV,   "
"    ""11 Smedi [Koni, Pr.1159] - 1990, 1x, No Styx"",","11 Smedi [Koni, Pr.1159] - 1990, 1x, 无 Styx,","    ""11斯梅迪·科尼，公共关系1159-1990，1x，无冥河"",","11?Smedi?[Koni,?Pr.1159]?-?1990,?1x,?No?Styx,   "
"    ""11 Tuima [Pr.205ER Osa II] - 1975"",","11 Tuima [Pr.205ER Osa II] - 1975,","    ""11图伊马省205ER Osa II-1975年"",","11?Tuima(公关.205ER?Osa?II]?-?1975,   "
"    ""11 Tuima [Pr.205ER Osa II] - 1993"",","11 Tuima [Pr.205ER Osa II] - 1993,","    ""11图伊马省205ER Osa II-1993年"",","11?Tuima(公关.205ER?Osa?II]?-?1993年,   "
"    ""1100 liter Drop Tank "",","1100 升水箱,","    ""1100升液箱"",","1100升Drop?Tank,   "
"    ""1101 Cheng Kung [Perry, Kuang Hua I] - 1993"",","1101 成功 [Perry, Kuang Hua I] - 1993,","    ""光华市成功佩里1101号——1993年"",","1101成功[佩里，匡华I]?-?1993,   "
"    ""1101 Cheng Kung [Perry, Kuang Hua I] - 2001"",","1101 成功 [佩里，光华 I] - 2001,","    ""光华市成功佩里1101号-2001"",","1101成功[佩里，匡华I]?-?2001,   "
"    ""1101 Cheng Kung [Perry, Kuang Hua I] - 2009, Hsiung Feng III Upgr"",","1101 Cheng Kung [Perry, Kuang Hua I] - 2009, Hsiung Feng III Upgr,","    ""成功佩里1101号，光华一期-2009，雄风三期Upgr"",","1101成功功[Perry，匡华I]?-?2009，雄风III?Upgr,   "
"    ""111 Keris - 2020"",","111 Keris - 2020,","    ""111克瑞斯-2020"",","111?Keris?-?2020,   "
"    ""111 Ras Al Gehis [Pr.266M Natya I] - 1981, 12x"",","111 Ras Al Gehis [Pr.266M Natya I] - 1981，12x,","    ""111 Ras Al-Gehis Pr.266M Natya I-1981，12倍"",","111?Ras?Al?Gehis?[Pr.266M?Natya?I]?-?1981,12x,   "
"    ""112 Ibn Al Hadrani [Pr.773 Polnochny C] - 1978, 4x"",","112 Ibn Al Hadrani [Pr.773 Polnochny C] - 1978，4x,","    ""112伊本·哈德拉尼公共关系773波尔诺奇尼C-1978，4倍"",","112?Ibn?Al?Hadrani?[Pr.773?Polnochny?C]?-?1978,?4,   "
"    ""113kg GPB "",","113 公斤 GPB,","    ""每加仑113公斤"",","113公斤加仑桶,   "
"    ""114 [Pr.123K] - 1962"",","114 [Pr.123K] - 1962,","    ""114 Pr.123K-1962"",","114年(公关.123?k?-?1962,   "
"    ""1140 liter Drop Tank "",","1140 升水箱,","    ""1140升液滴箱"",","1140升空投箱,   "
"    ""114mm/45 Mk3 Twin HE Burst [2 rnds] "",","114mm/45 Mk3 Twin HE Burst [2 rnds],","    ""114mm/45 Mk3双HE爆破2 RND"",","114毫米/45?Mk3双HE爆炸[2?rnds],   "
"    ""114mm/45 Mk5 Twin HE Burst [2 rnds] "",","114mm/45 Mk5 Twin HE Burst [2 rnds],","    ""114mm/45 Mk5双HE爆破2 RND"",","114毫米/45?Mk5双HE爆管[2?rnds]?,   "
"    ""114mm/45 Mk6 Twin HE Burst [2 rnds] "",","114 毫米/45 Mk6 双高爆 [2 发],","    ""114mm/45 Mk6双HE爆破2 RND"",","114毫米/45?Mk6双HE爆炸[2?rnds],   "
"    ""114mm/55 Mk8 HE(MP) HE "",","114mm/55 Mk8 HE(MP) HE,","    ""114mm/55 Mk8 HE（MP）HE"",","114毫米/55?Mk8?HE(MP)?HE,   "
"    ""114mm/55 Mk8 HE(MP)ER HE "",","114mm/55 Mk8 HE(MP)ER HE,","    ""114mm/55MK8 HE（MP）ER HE"",","114毫米/55?Mk8?HE(MP)ER?HE,   "
"    ""1150 liter Drop Tank "",","1150 升水箱,","    ""1150升液箱"",","1150升空投箱,   "
"    ""115mm APFSDS (Generic Tank Ammo)"",","115 毫米 APFSDS（通用坦克弹药）,","    ""115毫米APFSDS（通用坦克弹药）"",","115mm?APFSDS(通用坦克弹药),   "
"    ""115mm HE (Generic Tank Ammo)"",","115 毫米 HE（通用坦克弹药）,","    ""115毫米HE（通用坦克弹药）"",","115mm?HE(通用坦克弹药),   "
"    ""115mm HEAT (Generic Tank Ammo)"",","115mm HEAT（通用坦克弹药）,","    ""115毫米热量（普通坦克弹药）"",","115mm?HEAT(通用坦克弹药),   "
"    ""11m NWS SpecOps RHIB - 1993"",","11m NWS SpecOps RHIB - 1993,","    ""1100万NWS SpecOps RHIB-1993"",","1100万NWS?SpecOps?RHIB?-?1993,   "
"    ""11m RHIB - 0, Basic"",","11m RHIB - 0, 基本,","    ""11m RHIB-0，基本型"",","11m?RHIB?-?0,?Basic,   "
"    ""11m RHIB - 0, Enhanced/SpecOps"",","11m RHIB - 0，增强/SpecOps,","    ""11m RHIB-0，增强型/特殊型"",","11m?RHIB?-?0，增强/SpecOps,   "
"    ""12.7mm A-12.7 Burst [20 rnds] (Aircraft)"",","12.7 毫米 A-12.7 连发 [20 发]（飞机）,","    ""12.7mm A-12.7突发20 RND（飞机）"",","12.7mm?A-12.7爆炸[20?rnds](飞机),   "
"    ""12.7mm Anti-Materiel Rifle Volley [5 rnds] (Facility)"",","12.7 毫米反器材步枪齐射 [5 发]（设施）,","    ""12.7mm反装备步枪齐射5 RND（设施）"",","12.7毫米反物质步枪齐射(设施),   "
"    ""12.7mm HMP 400 Gun Pod Burst [40 rnds] (Aircraft)"",","12.7 毫米 HMP 400 连发炮弹 [40 发]（飞机）,","    ""12.7mm HMP 400炮舱爆破40 RND（飞机）"",","12.7mm?HMP?400炮吊舱爆炸[40?rnds](飞机),   "
"    ""12.7mm Yak-B Burst [100 rnds] (Aircraft)"",","12.7 毫米 Yak-B 爆破 [100 发]（飞机）,","    ""12.7mm Yak-B爆破100 RND（飞机）"",","12.7毫米雅克-?b爆炸[100?rnds](飞机),   "
